chunk_index,start_sec,end_sec,predicted_emotion,emotion_probs
35,175.0,180.0,happy,"[0.09133776277303696, 0.8769362568855286, 4.9940161261474714e-05, 0.031676024198532104]"
36,180.0,185.0,happy,"[0.2175011783838272, 0.4290742874145508, 0.351640909910202, 0.0017836404731497169]"
37,185.0,190.0,neutral,"[0.6962468028068542, 0.12192441523075104, 0.1459125280380249, 0.03591617941856384]"
38,190.0,195.0,excited,"[0.24139901995658875, 0.21209010481834412, 0.5247922539710999, 0.0217185840010643]"
39,195.0,200.0,happy,"[0.453755646944046, 0.5178418159484863, 0.02591796964406967, 0.002484588185325265]"
40,200.0,205.0,sad,"[0.007841472513973713, 0.013031018897891045, 1.32671686969843e-07, 0.9791274666786194]"
41,205.0,210.0,happy,"[0.08975040912628174, 0.8837577104568481, 0.000832064775750041, 0.02565980888903141]"
42,210.0,215.0,excited,"[0.15597748756408691, 0.20740438997745514, 0.42728009819984436, 0.20933803915977478]"
43,215.0,220.0,neutral,"[0.5423142910003662, 0.39317551255226135, 0.04476279392838478, 0.019747430458664894]"
44,220.0,225.0,neutral,"[0.9281226396560669, 0.018001118674874306, 0.018357252702116966, 0.035518959164619446]"
45,225.0,230.0,neutral,"[0.8821172714233398, 0.06655175238847733, 0.011308380402624607, 0.04002268612384796]"
46,230.0,235.0,neutral,"[0.4598393440246582, 0.28903043270111084, 0.23625271022319794, 0.014877473935484886]"
47,235.0,240.0,neutral,"[0.96277916431427, 0.02551990933716297, 0.008005748502910137, 0.0036952912341803312]"
48,240.0,245.0,neutral,"[0.6633092164993286, 0.2930065095424652, 0.012266233563423157, 0.031418073922395706]"
49,245.0,250.0,neutral,"[0.6981599926948547, 0.24648253619670868, 0.04115072265267372, 0.014206737279891968]"
50,250.0,255.0,neutral,"[0.7572230100631714, 0.15224425494670868, 0.08887635171413422, 0.0016563854878768325]"
51,255.0,260.0,excited,"[0.0657343864440918, 0.09754972159862518, 0.8338220715522766, 0.002893775934353471]"
52,260.0,265.0,excited,"[0.3902532756328583, 0.08068694174289703, 0.5136384963989258, 0.01542126014828682]"
53,265.0,270.0,excited,"[0.3014925718307495, 0.21879471838474274, 0.47884243726730347, 0.0008702767081558704]"
54,270.0,273.941375,excited,"[0.004752784967422485, 0.34677931666374207, 0.4924924969673157, 0.15597538650035858]"
